epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2417,1.39099,2.15818,1.62094,0.64116,0.61391,0.66082,0.36366,1.45387,2.05374,1.82799,0.000552105,0.000552105,0.000552105
2,84.8857,1.44157,1.70776,1.60351,0.46189,0.58574,0.46159,0.19069,1.73351,2.78638,2.05895,0.00108584,0.00108584,0.00108584
3,123.53,1.4425,1.63944,1.59132,0.71119,0.66556,0.7353,0.39015,1.5172,1.79038,1.8981,0.00159757,0.00159757,0.00159757
4,162.023,1.39933,1.49215,1.56244,0.82122,0.58689,0.72734,0.40621,1.48564,1.56422,1.82306,0.00156798,0.00156798,0.00156798
5,200.78,1.39191,1.43058,1.55261,0.81999,0.72643,0.81617,0.47261,1.39612,1.22105,1.67714,0.00153497,0.00153497,0.00153497
6,239.85,1.34602,1.33068,1.52397,0.81318,0.72178,0.80038,0.47712,1.40017,1.19149,1.69909,0.00150197,0.00150197,0.00150197
7,278.875,1.36928,1.30315,1.52104,0.84474,0.76475,0.82664,0.48347,1.3928,1.16348,1.65065,0.00146896,0.00146896,0.00146896
8,317.976,1.33651,1.24539,1.51121,0.74416,0.7679,0.79501,0.4676,1.37134,1.26724,1.63867,0.00143595,0.00143595,0.00143595
9,357.177,1.29797,1.19567,1.47575,0.88442,0.73675,0.83511,0.50438,1.35333,1.02897,1.6491,0.00140295,0.00140295,0.00140295
10,395.516,1.29605,1.16964,1.45961,0.67332,0.7206,0.7694,0.45514,1.3689,1.2353,1.61774,0.00136994,0.00136994,0.00136994
11,433.677,1.26805,1.13871,1.46924,0.79186,0.78554,0.82366,0.50941,1.31834,1.05647,1.58863,0.00133693,0.00133693,0.00133693
12,471.696,1.27141,1.15613,1.46081,0.7018,0.80142,0.81267,0.50247,1.28541,1.03256,1.55636,0.00130393,0.00130393,0.00130393
13,509.668,1.2524,1.12138,1.45389,0.77361,0.79533,0.82938,0.5242,1.26804,1.02277,1.55869,0.00127092,0.00127092,0.00127092
14,547.771,1.24862,1.0925,1.45021,0.82413,0.77508,0.84709,0.53178,1.31224,0.99605,1.59275,0.00123791,0.00123791,0.00123791
15,586.409,1.23094,1.05967,1.43886,0.85379,0.72346,0.83548,0.52839,1.22794,1.00179,1.506,0.00120491,0.00120491,0.00120491
16,626.123,1.21657,1.05972,1.42073,0.82608,0.79361,0.85051,0.54684,1.21954,0.96997,1.51748,0.0011719,0.0011719,0.0011719
17,665.164,1.19607,1.03642,1.41317,0.85531,0.75838,0.85779,0.53545,1.20677,0.91001,1.47943,0.00113889,0.00113889,0.00113889
18,704.391,1.19484,1.02898,1.43173,0.87079,0.80327,0.86246,0.52995,1.29084,0.89309,1.55573,0.00110589,0.00110589,0.00110589
19,744.183,1.20728,1.01589,1.41639,0.81645,0.79957,0.84917,0.53892,1.18927,1.03234,1.46699,0.00107288,0.00107288,0.00107288
20,782.524,1.18461,0.97907,1.39861,0.86682,0.80475,0.87088,0.55789,1.20362,0.86177,1.4686,0.00103987,0.00103987,0.00103987
21,820.588,1.16991,0.98886,1.40342,0.85923,0.78939,0.86628,0.55651,1.18404,0.90896,1.45802,0.00100687,0.00100687,0.00100687
22,860.561,1.17003,0.9628,1.39769,0.88254,0.79784,0.87961,0.56962,1.17635,0.8334,1.45303,0.000973861,0.000973861,0.000973861
23,899.269,1.16932,0.95726,1.39411,0.86516,0.80157,0.86143,0.53777,1.25039,0.92978,1.53727,0.000940855,0.000940855,0.000940855
24,936.705,1.17845,0.98383,1.41107,0.88063,0.79774,0.87516,0.56697,1.18312,0.85986,1.45845,0.000907848,0.000907848,0.000907848
25,974.143,1.15254,0.94818,1.37722,0.83918,0.80489,0.86862,0.57355,1.16023,0.85974,1.43948,0.000874842,0.000874842,0.000874842
26,1011.65,1.14718,0.92599,1.37079,0.83704,0.81454,0.88011,0.59306,1.1404,0.82411,1.4223,0.000841835,0.000841835,0.000841835
27,1049.08,1.14734,0.94104,1.35677,0.84392,0.80648,0.8766,0.57239,1.14753,0.84425,1.41813,0.000808828,0.000808828,0.000808828
28,1086.4,1.12499,0.92122,1.3608,0.85728,0.82962,0.88035,0.58637,1.15888,0.78603,1.4096,0.000775822,0.000775822,0.000775822
29,1124.01,1.15151,0.92998,1.3653,0.84744,0.84806,0.90124,0.60768,1.13752,0.7431,1.42878,0.000742815,0.000742815,0.000742815
30,1161.58,1.12754,0.90231,1.34765,0.86633,0.81426,0.8894,0.59711,1.12264,0.76286,1.39541,0.000709809,0.000709809,0.000709809
31,1198.8,1.12062,0.90512,1.35343,0.86886,0.81894,0.88924,0.60235,1.10265,0.77287,1.38431,0.000676802,0.000676802,0.000676802
32,1239.17,1.13178,0.91986,1.35914,0.85315,0.80556,0.88444,0.60925,1.07241,0.76961,1.3515,0.000643795,0.000643795,0.000643795
33,1279.53,1.09587,0.88183,1.34712,0.84995,0.82451,0.88619,0.59702,1.1188,0.77994,1.39633,0.000610789,0.000610789,0.000610789
34,1319.74,1.1182,0.89452,1.34167,0.86026,0.81025,0.87407,0.57082,1.1386,0.85746,1.40077,0.000577782,0.000577782,0.000577782
35,1359.88,1.07685,0.87261,1.32709,0.87481,0.82317,0.89649,0.60862,1.08551,0.73782,1.36405,0.000544776,0.000544776,0.000544776
36,1400.17,1.08687,0.8725,1.33137,0.84692,0.82904,0.88044,0.61641,1.07885,0.74538,1.35905,0.000511769,0.000511769,0.000511769
37,1440.73,1.07616,0.85103,1.32878,0.85761,0.83828,0.89739,0.61665,1.0809,0.73046,1.35052,0.000478762,0.000478762,0.000478762
38,1481,1.09872,0.85056,1.35128,0.86344,0.83359,0.89495,0.61348,1.10102,0.72847,1.35804,0.000445756,0.000445756,0.000445756
39,1521.28,1.07119,0.84405,1.31337,0.83764,0.84063,0.90152,0.62894,1.0737,0.68845,1.34723,0.000412749,0.000412749,0.000412749
40,1561.55,1.07183,0.82594,1.31292,0.85338,0.83082,0.8963,0.6231,1.08002,0.71983,1.35651,0.000379743,0.000379743,0.000379743
41,1647.56,0.95778,0.72772,1.32495,0.84693,0.82954,0.89562,0.61938,1.05973,0.73444,1.33067,0.000346736,0.000346736,0.000346736
42,1687.75,0.93126,0.68349,1.29122,0.87406,0.81991,0.89772,0.63401,1.06187,0.72317,1.33001,0.000313729,0.000313729,0.000313729
43,1727.82,0.94059,0.67619,1.31032,0.84772,0.82612,0.88998,0.62842,1.0311,0.74572,1.31564,0.000280723,0.000280723,0.000280723
44,1768.66,0.93112,0.67956,1.2987,0.86792,0.85232,0.90788,0.63464,1.0316,0.68894,1.3006,0.000247716,0.000247716,0.000247716
45,1809.1,0.92781,0.67415,1.29728,0.85451,0.86605,0.91093,0.64291,1.02623,0.67126,1.29921,0.00021471,0.00021471,0.00021471
46,1849.62,0.92296,0.65395,1.28791,0.86947,0.81887,0.89882,0.63521,1.02423,0.68071,1.28844,0.000181703,0.000181703,0.000181703
47,1890.12,0.88575,0.6397,1.25874,0.86957,0.83411,0.90386,0.64468,1.02061,0.68148,1.29625,0.000148696,0.000148696,0.000148696
48,1930.66,0.90651,0.64816,1.2693,0.87393,0.83233,0.90418,0.64887,1.00575,0.67908,1.28482,0.00011569,0.00011569,0.00011569
49,1971.02,0.87142,0.61696,1.25631,0.8798,0.83048,0.91467,0.6523,1.00585,0.6618,1.2828,8.26832e-05,8.26832e-05,8.26832e-05
50,2011.57,0.88626,0.6311,1.26,0.87337,0.8373,0.90801,0.65022,1.00426,0.66991,1.28038,4.96766e-05,4.96766e-05,4.96766e-05
